Date,Open,High,Low,Close,Volume
2024-02-23,144.97,145.955,144.79,145.29,14519434
2024-02-22,146.12,146.2,144.01,145.32,23024707
2024-02-21,142.64,143.98,141.91,143.84,16499584
2024-02-20,140.94,143.3285,140.8,142.2,18625589
2024-02-16,144.21,144.48,141.52,141.76,21865118
2024-02-15,144.46,144.76,141.88,143.94,26724305
2024-02-14,147.37,147.83,145.555,147.14,16651824
2024-02-13,146.07,148.04,145.11,146.37,18138482
2024-02-12,149.54,150.59,148.56,148.73,17236108
2024-02-09,147.95,150.695,147.43,150.22,21877693
2024-02-08,146.97,147.61,146.42,147.22,18241319
2024-02-07,146.12,147.0,145.2103,146.68,21436126
2024-02-06,145.96,146.74,144.52,145.41,21517655
2024-02-05,144.04,146.67,143.91,144.93,29254444
2024-02-02,140.89,143.88,138.17,143.54,42136127
2024-02-01,143.69,144.62,142.26,142.71,25526855
2024-01-31,145.39,145.59,141.55,141.8,43908584
2024-01-30,154.01,155.04,152.775,153.05,26578934
2024-01-29,153.64,155.2,152.92,154.84,20909258
2024-01-26,152.87,154.11,152.8,153.79,19494488
2024-01-25,151.74,154.76,151.22,153.64,21495120
2024-01-24,150.29,151.57,149.84,150.35,19245031
2024-01-23,147.72,148.86,147.19,148.68,14113649
2024-01-22,148.71,150.015,147.58,147.71,21829232
2024-01-19,146.305,148.04,145.8,147.97,27181032
2024-01-18,143.44,145.585,143.35,144.99,18876800
2024-01-17,142.91,143.41,140.51,142.89,17884548
2024-01-16,143.43,145.84,143.0564,144.08,19198939
2024-01-12,144.34,144.74,143.36,144.24,13998729
2024-01-11,144.895,146.66,142.215,143.67,17471130
2024-01-10,142.52,144.525,142.46,143.8,16641881
2024-01-09,140.06,142.7998,139.79,142.56,19579667
2024-01-08,138.0,140.64,137.88,140.53,17645293
2024-01-05,138.352,138.81,136.85,137.39,15439475
2024-01-04,139.85,140.635,138.01,138.04,18253331
2024-01-03,138.6,141.09,138.43,140.36,18974308
2024-01-02,139.6,140.6147,137.74,139.56,20071885
2023-12-29,140.68,141.435,139.9,140.93,14880961
2023-12-28,141.85,142.27,140.8283,141.28,12192549
2023-12-27,142.83,143.32,141.0512,141.44,17288358
2023-12-26,142.98,143.945,142.5001,142.82,11170066
2023-12-22,142.13,143.25,142.055,142.72,18513524
2023-12-21,140.77,142.03,140.4725,141.8,18101476
2023-12-20,140.33,143.0783,139.41,139.66,33507342
2023-12-19,138.0,138.77,137.45,138.1,20661000
2023-12-18,133.86,138.38,133.77,137.19,25699767
2023-12-15,132.92,134.83,132.63,133.84,58594004
2023-12-14,134.77,135.035,131.06,133.2,29619098
2023-12-13,134.545,134.78,132.95,133.97,25414461
2023-12-12,133.27,134.54,132.83,133.64,26583981
2023-12-11,133.82,134.79,132.89,134.7,24502860
2023-12-08,135.66,137.99,135.57,136.64,23016139
2023-12-07,136.6,140.0,136.23,138.45,38419426
2023-12-06,132.9,133.31,131.31,131.43,16360648
2023-12-05,130.37,133.54,129.73,132.39,19235145
2023-12-04,131.294,131.45,129.4,130.63,24117083
2023-12-01,133.32,133.5,132.1517,133.32,24267987
2023-11-30,136.4,136.96,132.79,133.92,29913531
2023-11-29,138.985,139.67,136.295,136.4,21014715
2023-11-28,137.63,138.66,137.04,138.62,17046868
2023-11-27,137.57,139.63,137.54,138.05,17886389
2023-11-24,139.54,139.677,137.47,138.22,8828640
2023-11-22,139.1,141.1,139.0,140.02,17310209
2023-11-21,137.94,138.965,137.705,138.62,17648067
2023-11-20,135.5,138.425,135.49,137.92,19589006
2023-11-17,137.82,138.0,135.48,136.94,25590191
2023-11-16,136.96,138.8799,136.08,138.7,17615068
2023-11-15,136.64,136.84,135.33,136.38,15840883
2023-11-14,135.65,137.24,135.1,135.43,22317345
2023-11-13,133.36,134.11,132.77,133.64,16409856
2023-11-10,131.53,134.27,130.87,134.06,20879838
2023-11-09,133.36,133.96,131.51,131.69,17976533
2023-11-08,132.36,133.54,132.16,133.26,15093598
2023-11-07,131.98,133.28,131.14,132.4,19223786
2023-11-06,130.22,131.56,129.93,131.45,15360362
2023-11-03,129.09,130.73,129.01,130.37,19529448
2023-11-02,129.56,130.09,128.11,128.58,24091672
2023-11-01,125.34,127.74,124.925,127.57,26536604
2023-10-31,126.27,126.56,123.925,125.3,21123418
2023-10-30,124.46,126.55,123.88,125.75,24165631
2023-10-27,124.03,124.44,121.46,123.4,37367673
2023-10-26,124.47,125.46,122.32,123.44,33907363
2023-10-25,129.77,130.1,126.09,126.67,58796067
2023-10-24,139.16,140.7099,138.75,140.12,26535198
2023-10-23,136.23,139.02,135.11,137.9,20780665
2023-10-20,138.59,139.04,136.245,136.74,24970263
2023-10-19,139.8,141.005,138.6,138.98,21831181
2023-10-18,140.75,141.99,138.705,139.28,18304869
2023-10-17,140.03,141.25,138.5287,140.99,17424024
2023-10-16,139.73,140.905,139.32,140.49,17345556
2023-10-13,140.65,141.34,137.97,138.58,19447565
2023-10-12,142.16,142.38,139.45,140.29,18173107
2023-10-11,139.85,142.22,139.84,141.7,20146341
2023-10-10,139.51,140.74,138.43,139.2,19554916
2023-10-09,137.99,139.97,136.7,139.5,16599099
2023-10-06,134.94,139.1857,134.94,138.73,20826683
2023-10-05,136.13,136.5,134.455,135.99,15922944
2023-10-04,133.66,136.57,133.43,136.27,22847987
2023-10-03,134.93,135.24,132.815,133.3,19628736
2023-10-02,132.155,135.36,132.065,135.17,19210394
2023-09-29,134.08,134.89,131.32,131.85,23237336
2023-09-28,130.69,134.1799,130.69,133.13,18201389
2023-09-27,129.44,131.72,129.38,131.46,18764201
2023-09-26,130.914,131.405,128.19,129.45,20378789
2023-09-25,130.77,132.22,130.03,132.17,14650032
2023-09-22,131.68,133.01,130.51,131.25,17355284
2023-09-21,132.39,133.19,131.09,131.36,22058375
2023-09-20,138.83,138.84,134.52,134.59,21473533
2023-09-19,138.25,139.175,137.5,138.83,15484644
2023-09-18,137.63,139.93,137.63,138.96,16233590
2023-09-15,138.8,139.36,137.18,138.3,48958837
2023-09-14,138.39,139.55,137.06,138.99,19064607
2023-09-13,135.9,137.7,134.93,137.5,16394915
2023-09-12,137.13,137.64,135.93,136.07,15212934
2023-09-11,137.38,138.2638,136.55,137.74,17180755
2023-09-08,135.87,137.515,135.87,137.2,17820005
2023-09-07,134.6,136.58,133.9601,136.2,16975956
2023-09-06,137.015,137.48,134.69,135.37,15814327
2023-09-05,136.44,137.37,135.56,136.71,17730218
2023-09-01,138.43,138.58,135.94,136.8,16671647
2023-08-31,137.05,138.4,136.82,137.35,28147850
2023-08-30,135.57,137.25,135.021,136.93,21773356
2023-08-29,132.9981,137.295,132.98,135.49,30803265
2023-08-28,132.08,133.24,130.85,131.79,16715467
2023-08-25,130.14,131.4,128.04,130.69,20678096
2023-08-24,134.7272,134.97,130.3,130.42,18680381
2023-08-23,130.85,134.07,130.51,133.21,26497027
2023-08-22,129.13,130.95,128.925,129.69,15569373
